Name,Latitude,Longitude
h1,41.88274,-87.62052
h2,41.88276,-87.62052
h3,41.88282,-87.62052
h4,41.88304,-87.62051
h5,41.88331,-87.62053
h6,41.88367,-87.62054
h7,41.88389,-87.62055
h8,41.8842,-87.62057
h9,41.88426,-87.62057
h10,41.884341,-87.620319
h11,41.884357,-87.61989
h12,41.884373,-87.61959
h13,41.884373,-87.619257
h14,41.884405,-87.61886
h15,41.884405,-87.618281
h16,41.884397,-87.617863
h17,41.884381,-87.617444
h18,41.884389,-87.617068
h19,41.884381,-87.616585
h20,41.884373,-87.616134
h21,41.884405,-87.61564
h22,41.884397,-87.615114
h23,41.884381,-87.614728
h24,41.884381,-87.614342
h25,41.884413,-87.613924
h26,41.884413,-87.613602
h27,41.884429,-87.613291
h28,41.884445,-87.613119
h29,41.884453,-87.613001
h30,41.884221,-87.613033
h31,41.884053,-87.613033
h32,41.883861,-87.613044
h33,41.883685,-87.613065
h34,41.883601,-87.613077
h35,41.883529,-87.613098
h36,41.883441,-87.61313
h37,41.883369,-87.613173
h38,41.883313,-87.613211
h39,41.883253,-87.613281
h40,41.883201,-87.61334
h41,41.883157,-87.613404
h42,41.883109,-87.613468
h43,41.883053,-87.613554
h44,41.883005,-87.61364
h45,41.882965,-87.613715
h46,41.882921,-87.61379
h47,41.882865,-87.613919
h48,41.882793,-87.614091
h49,41.882753,-87.614268
h50,41.882693,-87.614509
h51,41.882653,-87.614724
h52,41.882645,-87.61503
h53,41.882629,-87.61532
h54,41.882617,-87.615492
h55,41.882609,-87.615626
h56,41.882581,-87.615755
h57,41.882553,-87.615857
h58,41.882525,-87.615964
h59,41.882481,-87.616061
h60,41.882433,-87.616163
h61,41.882377,-87.61626
h62,41.882297,-87.616362
h63,41.882205,-87.616459
h64,41.882085,-87.616556
h65,41.881941,-87.616669
h66,41.881773,-87.616776
h67,41.881593,-87.616899
h68,41.881505,-87.616958
h69,41.881395,-87.616994
h70,41.881219,-87.617037
h71,41.881079,-87.617058
h72,41.880899,-87.617069
h73,41.880759,-87.617064
h74,41.879273,-87.617029
h75,41.878642,-87.617008
h76,41.877827,-87.616987
h77,41.877412,-87.616987
h78,41.876318,-87.616966
h79,41.875767,-87.616966
h80,41.875176,-87.616945
h81,41.874713,-87.616934
h82,41.874194,-87.616913
h83,41.873515,-87.616902
h84,41.872628,-87.616891
h85,41.871398,-87.616859
h86,41.870735,-87.616838
h87,41.870359,-87.616838
h88,41.86976,-87.616838
h89,41.869209,-87.616817
h90,41.868969,-87.616796
h91,41.868833,-87.616753
h92,41.868721,-87.616689
h93,41.868625,-87.616619
h94,41.868525,-87.616533
h95,41.868445,-87.616453
h96,41.868397,-87.616507
h97,41.868337,-87.61662
h98,41.868277,-87.616738
h99,41.868193,-87.616915
h100,41.868201,-87.617108
h101,41.868165,-87.617269
h102,41.868125,-87.61743
h103,41.868093,-87.617559
h104,41.868037,-87.617736
h105,41.867965,-87.617993
h106,41.86808,-87.618213
h107,41.868176,-87.618406
h108,41.868292,-87.618637
h109,41.868404,-87.618857
h110,41.868472,-87.619002
h111,41.868576,-87.619082
h112,41.868656,-87.619168
h113,41.868724,-87.619243
h114,41.868796,-87.619329
h115,41.868856,-87.619415
h116,41.8689,-87.619517
h117,41.868964,-87.619635
h118,41.869032,-87.619774
h119,41.869108,-87.619892
h120,41.869192,-87.619989
h121,41.869292,-87.620096
h122,41.869356,-87.62016
h123,41.869496,-87.62024
h124,41.869636,-87.620307
h125,41.869756,-87.620387
h126,41.869908,-87.620473
h127,41.870164,-87.620521