Start,A,0
1K,A,4.34
2K,A,8.68
3K,A,13.02
4K,A,17.36
5K,A,21.7
6K,A,26.04
7K,A,30.38
Finish,A,34.72
Start,B,0
1K,B,4.805
2K,B,9.61
3K,B,14.415
4K,B,19.22
5K,B,24.025
6K,B,28.83
7K,B,33.635
Finish,B,38.44
Start,C,0
1K,C,5.27
2K,C,10.54
3K,C,15.81
4K,C,21.08
5K,C,26.35
6K,C,31.62
7K,C,36.89
Finish,C,42.16
Start,D,0
1K,D,5.58
2K,D,11.16
3K,D,16.74
4K,D,22.32
5K,D,27.9
6K,D,33.48
7K,D,39.06
Finish,D,44.64
Start,E,0
1K,E,5.89
2K,E,11.78
3K,E,17.67
4K,E,23.56
5K,E,29.45
6K,E,35.34
7K,E,41.23
Finish,E,47.12
Start,F,0
1K,F,6.2
2K,F,12.4
3K,F,18.6
4K,F,24.8
5K,F,31
6K,F,37.2
7K,F,43.4
Finish,F,49.6
Start,G,0
1K,G,6.82
2K,G,13.64
3K,G,20.46
4K,G,27.28
5K,G,34.1
6K,G,40.92
7K,G,47.74
Finish,G,54.56
Start,H,0
1K,H,8.06
2K,H,16.12
3K,H,24.18
4K,H,32.24
5K,H,40.3
6K,H,48.36
7K,H,56.42
Finish,H,64.48