Number,lat,lon
1, 41.8806123, -87.6268817
2, 41.8907538, -87.6301288
3, 41.9183507, -87.6345426
4, 41.9231952, -87.6384928
5, 41.9404733, -87.6448296
6, 41.9117306, -87.635087
7, 41.8882212, -87.6354194
8, 41.8818766, -87.6406534
9, 41.8782664, -87.663704
10,41.8769902, -87.6740697
11,41.8787387, -87.6394832
12,41.8775904, -87.6549531
13,41.8644428, -87.655901
14,41.8590178, -87.6574277
15,41.8528414, -87.6418738
16,41.8531984, -87.6467971
17,41.8492312, -87.6409818
18,41.8417332, -87.632152
19,41.8308233, -87.6244743
20,41.8466571, -87.6213228
21,41.8593559, -87.6156231
22,41.8582258, -87.6275221
23,41.850968,  -87.620385
24,41.8464034, -87.6424483